file,path,speaker,speaker_type,command,sample_rate,channels,duration,peak,rms,clipping,silence,source,note
20260908_163919.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_163919.m4a,owner_sound,owner,unknown,48000,2,10.624,8448.0,1159.6,0.0,0.3012,m4a,
20260908_163930.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_163930.m4a,owner_sound,owner,unknown,48000,2,16.811,10596.0,1702.9,0.0,0.1179,m4a,
20260908_163942.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_163942.m4a,owner_sound,owner,unknown,48000,2,3.669,7727.0,1101.7,0.0,0.439,m4a,
20260908_163946.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_163946.m4a,owner_sound,owner,unknown,48000,2,11.947,8089.0,699.3,0.0,0.4594,m4a,
20260908_163954.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_163954.m4a,owner_sound,owner,unknown,48000,2,15.915,8974.0,877.7,0.0,0.5347,m4a,
20260908_164004.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164004.m4a,owner_sound,owner,unknown,48000,2,6.4,5620.0,1034.8,0.0,0.3106,m4a,
20260908_164011.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164011.m4a,owner_sound,owner,unknown,48000,2,20.779,6653.0,968.8,0.0,0.2246,m4a,
20260908_164023.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164023.m4a,owner_sound,owner,unknown,48000,2,29.867,8752.0,938.2,0.0,0.2868,m4a,
20260908_164040.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164040.m4a,owner_sound,owner,unknown,48000,2,16.683,7427.0,1065.0,0.0,0.1844,m4a,
20260908_164053.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164053.m4a,owner_sound,owner,unknown,48000,2,15.488,9558.0,1230.9,0.0,0.184,m4a,
20260908_164103.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164103.m4a,owner_sound,owner,unknown,48000,2,8.533,6715.0,972.9,0.0,0.1897,m4a,
20260908_164109.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164109.m4a,owner_sound,owner,unknown,48000,2,17.323,12285.0,865.7,0.0,0.2643,m4a,
20260908_164121.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164121.m4a,owner_sound,owner,unknown,48000,2,11.605,24823.0,2015.1,0.0,0.2318,m4a,
20260908_164128.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164128.m4a,owner_sound,owner,unknown,48000,2,9.941,13624.0,1978.3,0.0,0.1255,m4a,
20260908_164135.m4a,E:\electronic-circuit\py\audio\..\..\sounds\owner_sound\20260908_164135.m4a,owner_sound,owner,unknown,48000,2,17.408,11154.0,1770.1,0.0,0.1083,m4a,
20260908_164842.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164842.m4a,stranger1,stranger1,unknown,48000,2,15.829,11531.0,1245.5,0.0,0.1129,m4a,
20260908_164851.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164851.m4a,stranger1,stranger1,unknown,48000,2,19.285,5992.0,1131.9,0.0,0.1206,m4a,
20260908_164902.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164902.m4a,stranger1,stranger1,unknown,48000,2,3.072,6463.0,1053.8,0.0,0.3628,m4a,
20260908_164905.m4a,E:\electronic-circuit\py\audio\..\..\sounds\stranger1\20260908_164905.m4a,stranger1,stranger1,unknown,48000,2,12.672,5745.0,866.0,0.0,0.3401,m4a,
