file,label,A_dist,B_sim
20260908_163919.npz,owner,655,0.9580612822066126
20260908_163930.npz,owner,1028,0.9744343221255959
20260908_163942.npz,owner,1620,0.9415944676797705
20260908_163946.npz,owner,809,0.9684369040995486
20260908_163954.npz,owner,303,0.8975376284678852
20260908_164004.npz,owner,645,0.9836427999948033
20260908_164011.npz,owner,850,0.99205520503106
20260908_164023.npz,owner,786,0.9918936724302345
20260908_164040.npz,owner,1625,0.972845604794582
20260908_164053.npz,owner,902,0.9913874052171909
20260908_164103.npz,owner,986,0.9681689789296181
20260908_164109.npz,owner,1509,0.9762485037551115
20260908_164121.npz,owner,2704,0.9929213833730974
20260908_164128.npz,owner,1411,0.9576118665786157
20260908_164135.npz,owner,1318,0.9918126435177064
20260908_164842.npz,impostor,973,0.8556146892008228
20260908_164851.npz,impostor,1085,0.8601034094584743
20260908_164902.npz,impostor,1176,0.8947287127867929
20260908_164905.npz,impostor,1165,0.8891876904029055
20260908_164913.npz,impostor,714,0.8368137059476648
20260908_164920.npz,impostor,466,0.7850873366870073
20260908_164928.npz,impostor,6074,0.7816179547035327
20260908_164938.npz,impostor,1469,0.795847336154214
20260908_164951.npz,impostor,2441,0.8307517516281033
20260908_165000.npz,impostor,2385,0.8226221046546246
20260908_165015.npz,impostor,911,0.8216453806595969
20260908_165022.npz,impostor,1070,0.7913347604293619
20260908_165033.npz,impostor,1884,0.7831910037844296
20260908_165043.npz,impostor,1697,0.845161084856091
20260908_165300.npz,impostor,3470,0.9194172747914771
20260908_165310.npz,impostor,2758,0.9247452593719132
20260908_165319.npz,impostor,3681,0.944652322379733
20260908_165331.npz,impostor,3176,0.864004968174839
20260908_165407.npz,impostor,2029,0.8472318603685904
20260908_165434.npz,impostor,2880,0.8443903777663436
20260908_165448.npz,impostor,3139,0.8706853152247501
20260908_165501.npz,impostor,1595,0.8218716026600101
20260908_165526.npz,impostor,2468,0.8348270011297702
20260908_165537.npz,impostor,1985,0.8465184007922737
