TH,TP,TN,FP,FN,FAR,FRR,accuracy
597,0,183807,1,19759,5.440459610027855e-06,1.0,0.9029312216616642
1097,38,183267,541,19721,0.0029432886490250694,0.998076825750291,0.900465203102664
1597,2947,164333,19475,16812,0.10595295090529248,0.8508527759501999,0.821744192329798
2097,7375,124845,58963,12384,0.3207858199860724,0.6267523660104256,0.6495158842052002
2597,9664,99653,84155,10095,0.45784187848189417,0.510906422389797,0.5370074717414905
3097,11369,79396,104412,8390,0.5680492688022284,0.4246166303962751,0.445872857584972
3597,12844,62996,120812,6915,0.6572728064066853,0.34996710359836025,0.3725554731366086
4097,14133,49223,134585,5626,0.7322042566155988,0.28473100865428413,0.31122922674107295
4597,15162,38465,145343,4597,0.7907327211002786,0.23265347436611164,0.2634366080946322
5097,16064,29879,153929,3695,0.8374445073119777,0.18700339085986134,0.22568982202419843
5597,16859,23337,160471,2900,0.8730359940807799,0.14676856116200213,0.19745833067245674
6097,17571,18977,164831,2188,0.8967563979805014,0.11073434890429677,0.17953794082537936
6597,18125,14773,169035,1634,0.9196280901810585,0.08269649273748672,0.16160772620316652
7097,18515,12757,171051,1244,0.9305960567548747,0.06295865175363126,0.15362018401803829
7597,18808,5564,178244,951,0.969729282729805,0.04812996609140139,0.11972470980070443
8097,19013,4642,179166,746,0.9747453864902507,0.03775494711270813,0.11620252791464235
8597,19182,3845,179963,577,0.9790814327994429,0.029201882686370768,0.1131175485221082
9097,19335,3202,180606,424,0.9825796483286908,0.02145857583885824,0.11071047861392072
9597,19446,2684,181124,313,0.9853978064066853,0.01584088263576092,0.1087111368738548
10097,19529,2301,181507,230,0.9874815024373259,0.011640265195607066,0.10723742060353594
10597,19605,1959,181849,154,0.9893421396239555,0.007793916696189078,0.10593072551051988
11097,19656,1694,182114,103,0.9907838614206128,0.005212814413684903,0.10487947457102575
11597,19693,1452,182356,66,0.9921004526462396,0.0033402500126524623,0.1038724351196412
12097,19719,1268,182540,40,0.9931014972144847,0.002024393947062098,0.10309627788393994
12597,19735,1065,182743,24,0.9942059105153204,0.0012146363682372589,0.1021776614087745
13097,19747,866,182942,12,0.9952885619777159,0.0006073181841186294,0.10125904493360909
13597,19757,690,183118,2,0.9962460828690808,0.00010121969735310492,0.10044358859736598
14097,19759,540,183268,0,0.997062151810585,0.0,0.099716555237342
14597,19759,418,183390,0,0.9977258878830083,0.0,0.099117243954079
15097,19759,307,183501,0,0.9983297788997214,0.0,0.09857196893406102
15597,19759,229,183579,0,0.9987541347493036,0.0,0.09818880270377811
16097,19759,160,183648,0,0.9991295264623955,0.0,0.09784984796160479
16597,19759,118,183690,0,0.9993580257660167,0.0,0.09764352768376014
17097,19759,74,183734,0,0.9995974059888579,0.0,0.09742738263078003
17597,19759,40,183768,0,0.9997823816155988,0.0,0.09726036145347723
18097,19759,21,183787,0,0.9998857503481894,0.0,0.09716702608969037
18597,19759,13,183795,0,0.9999292740250696,0.0,0.09712772698914854
19097,19759,3,183805,0,0.9999836786211699,0.0,0.09707860311347125
19597,19759,2,183806,0,0.9999891190807799,0.0,0.09707369072590351
20097,19759,1,183807,0,0.99999455954039,0.0,0.09706877833833578
20597,19759,1,183807,0,0.99999455954039,0.0,0.09706877833833578
21097,19759,1,183807,0,0.99999455954039,0.0,0.09706877833833578
21597,19759,1,183807,0,0.99999455954039,0.0,0.09706877833833578
22097,19759,0,183808,0,1.0,0.0,0.09706386595076805
22597,19759,0,183808,0,1.0,0.0,0.09706386595076805
23097,19759,0,183808,0,1.0,0.0,0.09706386595076805
23597,19759,0,183808,0,1.0,0.0,0.09706386595076805
